"グループ名","TwitterID","TwitterName","フォロワー数","ツイート数","フォロワー数","ツイート数","","グループ名","TwitterID","TwitterName","フォロワー増減","","グループ名","TwitterID","TwitterName","ツイート増減"
"#ジューロック","misa_JUROCK","清水美早 #ジューロック","8546","22997","8546","22997","","#えぐる","BANRI_58","BANRI🦄（天使です）","0","","#PEXACOA","riisa_PEXACOA","宮凪りぃさ【#PEXACOA】","0"
"#ジューロック","nana_JUROCK","高地なな ワッツ◎さーくる","2169","1472","2169","1472","","#えぐる","can_egr","Can🐼🍺egr@Osaka","0","","#PEXACOA","sora_pexacoa","高木そら#PEXACOA","0"
"#ジューロック","ria_JUROCK","椎名りあ ワッツ◎さーくる","3680","5581","3680","5581","","#えぐる","midukichi_0403","Minmi.🐱💜5月6日BIGCATワンマン","0","","#PEXACOA","yuma_pexacoa","まゆたゆま #PEXACOA【1/16 EASTワンマン】","0"
"#ジューロック","saki_JUROCK2","白間沙希 #ジューロック","7579","4358","7579","4358","","#えぐる","monsterslock","Pko☆▶︎Next LIVE12月4日❣️","0","","#ZZZ","manakayamano","山乃愛佳 #ZZZ","0"
"#ジューロック","sayu_JUROCK2","朝倉さゆ #ジューロック","3281","2806","3281","2806","","#えぐる","musicriona","瀧本りおな","0","","#ZZZ","sarasa_kuon","久遠彩桜紗💗#ZZZ","0"
"#ジューロック","suzune_JUROCK2","篠宮すずね #ジューロック","3025","4778","3025","4778","","#えぐる","sunwing_color","陽羽/Hiwa【えぐるFORCE】","0","","#あんのわーるど","ukw_ame","ワンマンに来て欲しい叶愛 あめ(ちゃん)🍬🐬#あのわど1/9ワンマン❕","0"
"#ババババンビ","akanekogurasi","吉沢朱音 #ババババンビ","58716","4079","58716","4079","","#がらぽん","koharu_grpn","こはる😈#がらぽん","0","","#あんのわーるど","ukw_nico","氷菓にこ🍨🎀 #あのわど","0"
"#ババババンビ","meruda__ikeda","池田メルダ #ババババンビ","43510","13083","43510","13083","","#がらぽん","miaki_grpn","みあき🥒#がらぽん@12/4生誕祭in池袋🌱","0","","#あんのわーるど","ukw_riai","ユズ・リアイ#あのわど","0"
"#ババババンビ","minato__mio","水湊みお #ババババンビ","188654","9118","188653","9118","","#がらぽん","noi_grpn","のい🐈#がらぽん","0","","#あんのわーるど","ukw_rin","鈴菜りん💛🔔#あのわど","0"
"#ババババンビ","miyu_kishi0213","岸みゆ #ババババンビ","102786","13786","102786","13786","","#ジューロック","an_JUROCK","白石杏 #ジューロック","0","","#あんのわーるど","ukw_ulala","うらら #あのわど","0"
"#ババババンビ","pipipi_br","小鳥遊るい #ババババンビ","61606","15234","61606","15234","","#ジューロック","fuka_JUROCK","西野ふうか #ジューロック","0","","#えぐる","BANRI_58","BANRI🦄（天使です）","0"
"#ババババンビ","saekondo_inu","近藤沙瑛子🐾 #ババババンビ","50326","8267","50326","8267","","#ジューロック","maria_JUROCK","黒木真里亜 ワッツ◎さーくる","0","","#えぐる","can_egr","Can🐼🍺egr@Osaka","0"
"#ババババンビ","usa_usa0427","宇咲 #ババババンビ (9/4~全国ツアー)","67447","5099","67447","5099","","#ジューロック","marin_JUROCK2","加藤真凛 #ジューロック","0","","#えぐる","midukichi_0403","Minmi.🐱💜5月6日BIGCATワンマン","0"
"#フラサービックル","FLABI_MANA","花園まな#フラサービックル 2022/1/16(日)1stワンマン@ZeppFukuoka","514","206","514","206","","#ジューロック","megu_JUROCK2","村瀬めぐ #ジューロック","0","","#えぐる","monsterslock","Pko☆▶︎Next LIVE12月4日❣️","0"
